"axis_id","scope","metric","value","target","direction","pass"
"CMN-001","common","state_restoration_rate",1,0.99,"ge",TRUE
"CMN-002","common","lineage_tracking_rate",1,0.99,"ge",TRUE
"CMN-003","common","cross_environment_rate",1,0.99,"ge",TRUE
"CMN-004","common","long_term_degradation_ratio",0.832358634323133,2,"le",TRUE
"CMN-005","common","rollback_cascade_rate",1,0.99,"ge",TRUE
"CMN-006","common","breakage_detection_rate",1,0.95,"ge",TRUE
"CMN-007","common","breakage_visualized_rate",1,0.95,"ge",TRUE
"CMN-008","common","breakage_safe_execution_rate",1,1,"ge",TRUE
"AUTO-001","auto_rollback","auto_restore_rate_among_broken",1,0.95,"ge",TRUE
"AUTO-002","auto_rollback","auto_restore_action_rate",1,1,"ge",TRUE
"GUIDE-001","guided_manual","guided_detection_rate",1,0.95,"ge",TRUE
"GUIDE-002","guided_manual","guided_actionable_proposal_rate",1,0.95,"ge",TRUE
"GUIDE-003","guided_manual","guided_guardrail_rate",1,1,"ge",TRUE
"LIM-001","limit_boundary","limit_false_positive_rate",0,0.1,"le",TRUE
"LIM-002","limit_boundary","limit_false_negative_rate",0,0.1,"le",TRUE
"LIM-003","limit_boundary","limit_auto_restore_success_rate_expected",1,0.9,"ge",TRUE
"LIM-004","limit_boundary","limit_known_limit_guardrail_rate",1,0.9,"ge",TRUE
